algo;n;seed;elapsedMs;comparisons;swaps;maxDepth;timestamp
mergesort;100;6553861787233477359;1.420;689;0;4;2025-09-27T19:43:05.857Z
quicksort;100;6553861787233477359;1.649;716;376;2;2025-09-27T19:43:05.893Z
select;100;6553861787233477359;0.110;357;103;5;2025-09-27T19:43:05.895Z
closest;100;6553861787233477359;3.525;581;0;3;2025-09-27T19:43:05.904Z
mergesort;100;8541584199619059026;0.071;631;0;4;2025-09-27T19:43:05.905Z
quicksort;100;8541584199619059026;0.088;770;395;2;2025-09-27T19:43:05.906Z
select;100;8541584199619059026;0.171;670;202;6;2025-09-27T19:43:05.906Z
closest;100;8541584199619059026;0.196;603;0;3;2025-09-27T19:43:05.907Z
mergesort;100;3623137712977984595;0.075;631;0;4;2025-09-27T19:43:05.908Z
quicksort;100;3623137712977984595;0.087;708;472;2;2025-09-27T19:43:05.909Z
select;100;3623137712977984595;0.051;349;102;5;2025-09-27T19:43:05.910Z
closest;100;3623137712977984595;0.207;635;0;3;2025-09-27T19:43:05.911Z
mergesort;200;8547335575382565837;0.101;1450;0;5;2025-09-27T19:43:05.912Z
quicksort;200;8547335575382565837;0.114;1633;862;3;2025-09-27T19:43:05.912Z
select;200;8547335575382565837;0.142;1406;411;6;2025-09-27T19:43:05.913Z
closest;200;8547335575382565837;0.321;1327;0;4;2025-09-27T19:43:05.914Z
mergesort;200;9163452500120899508;0.115;1390;0;5;2025-09-27T19:43:05.914Z
quicksort;200;9163452500120899508;0.139;1556;904;3;2025-09-27T19:43:05.915Z
select;200;9163452500120899508;0.096;1288;368;6;2025-09-27T19:43:05.916Z
closest;200;9163452500120899508;0.311;1302;0;4;2025-09-27T19:43:05.916Z
mergesort;200;18274860859412893682;0.113;1505;0;5;2025-09-27T19:43:05.917Z
quicksort;200;18274860859412893682;0.142;1977;1048;3;2025-09-27T19:43:05.918Z
select;200;18274860859412893682;0.092;1372;389;7;2025-09-27T19:43:05.919Z
closest;200;18274860859412893682;0.476;1288;0;4;2025-09-27T19:43:05.920Z
mergesort;300;16559588028257958232;0.149;2294;0;6;2025-09-27T19:43:05.921Z
quicksort;300;16559588028257958232;0.143;2528;1592;4;2025-09-27T19:43:05.921Z
select;300;16559588028257958232;0.053;1155;309;6;2025-09-27T19:43:05.922Z
closest;300;16559588028257958232;0.404;1768;0;5;2025-09-27T19:43:05.923Z
mergesort;300;6389140984421281325;0.139;2339;0;6;2025-09-27T19:43:05.924Z
quicksort;300;6389140984421281325;0.158;2730;1536;3;2025-09-27T19:43:05.924Z
select;300;6389140984421281325;0.055;1922;517;7;2025-09-27T19:43:05.925Z
closest;300;6389140984421281325;0.269;1898;0;5;2025-09-27T19:43:05.926Z
mergesort;300;7300202521845299235;0.074;2246;0;6;2025-09-27T19:43:05.926Z
quicksort;300;7300202521845299235;0.102;2590;1487;3;2025-09-27T19:43:05.927Z
select;300;7300202521845299235;0.079;2179;594;8;2025-09-27T19:43:05.927Z
closest;300;7300202521845299235;0.246;1997;0;5;2025-09-27T19:43:05.928Z
mergesort;400;7468734162575423160;0.096;3399;0;6;2025-09-27T19:43:05.929Z
quicksort;400;7468734162575423160;0.108;4107;2209;3;2025-09-27T19:43:05.929Z
select;400;7468734162575423160;0.125;3073;852;9;2025-09-27T19:43:05.930Z
closest;400;7468734162575423160;0.311;3047;0;5;2025-09-27T19:43:05.931Z
mergesort;400;499320848249794636;0.097;3364;0;6;2025-09-27T19:43:05.932Z
quicksort;400;499320848249794636;0.089;3874;1969;4;2025-09-27T19:43:05.932Z
select;400;499320848249794636;0.077;2902;806;7;2025-09-27T19:43:05.933Z
closest;400;499320848249794636;0.298;2681;0;5;2025-09-27T19:43:05.934Z
mergesort;400;12433230634296668532;0.058;3354;0;6;2025-09-27T19:43:05.934Z
quicksort;400;12433230634296668532;0.089;3853;1782;3;2025-09-27T19:43:05.935Z
select;400;12433230634296668532;0.058;2892;798;7;2025-09-27T19:43:05.935Z
closest;400;12433230634296668532;0.282;2724;0;5;2025-09-27T19:43:05.936Z
mergesort;500;13489548850385233235;0.110;4660;0;6;2025-09-27T19:43:05.936Z
quicksort;500;13489548850385233235;0.121;5221;2879;4;2025-09-27T19:43:05.937Z
select;500;13489548850385233235;0.117;3738;1024;9;2025-09-27T19:43:05.938Z
closest;500;13489548850385233235;0.371;4354;0;5;2025-09-27T19:43:05.939Z
mergesort;500;8963311000376984317;0.102;4743;0;6;2025-09-27T19:43:05.940Z
quicksort;500;8963311000376984317;0.203;5264;2407;4;2025-09-27T19:43:05.941Z
select;500;8963311000376984317;0.134;3705;986;8;2025-09-27T19:43:05.942Z
closest;500;8963311000376984317;0.528;4376;0;5;2025-09-27T19:43:05.943Z
mergesort;500;18100786835875110706;0.072;4641;0;6;2025-09-27T19:43:05.944Z
quicksort;500;18100786835875110706;0.188;5045;2804;3;2025-09-27T19:43:05.944Z
select;500;18100786835875110706;0.102;3760;1027;9;2025-09-27T19:43:05.945Z
closest;500;18100786835875110706;0.386;4068;0;5;2025-09-27T19:43:05.946Z
mergesort;600;17826727079443838712;0.146;5177;0;7;2025-09-27T19:43:05.947Z
quicksort;600;17826727079443838712;0.243;5974;3164;4;2025-09-27T19:43:05.948Z
select;600;17826727079443838712;0.386;4432;1153;9;2025-09-27T19:43:05.950Z
closest;600;17826727079443838712;0.460;4511;0;6;2025-09-27T19:43:05.951Z
mergesort;600;14493189352789290706;0.092;5155;0;7;2025-09-27T19:43:05.952Z
quicksort;600;14493189352789290706;0.251;6436;3281;3;2025-09-27T19:43:05.953Z
select;600;14493189352789290706;0.086;4504;1206;9;2025-09-27T19:43:05.953Z
closest;600;14493189352789290706;0.454;4724;0;6;2025-09-27T19:43:05.954Z
mergesort;600;12041817149168638894;0.153;5144;0;7;2025-09-27T19:43:05.955Z
quicksort;600;12041817149168638894;0.186;7171;3743;4;2025-09-27T19:43:05.957Z
select;600;12041817149168638894;0.073;4144;1050;9;2025-09-27T19:43:05.958Z
closest;600;12041817149168638894;0.724;4850;0;6;2025-09-27T19:43:05.960Z
mergesort;700;10716722894345995712;0.198;6375;0;7;2025-09-27T19:43:05.961Z
quicksort;700;10716722894345995712;0.146;7191;4253;4;2025-09-27T19:43:05.962Z
select;700;10716722894345995712;0.148;5053;1356;9;2025-09-27T19:43:05.963Z
closest;700;10716722894345995712;0.792;5508;0;6;2025-09-27T19:43:05.965Z
mergesort;700;9828723232005063390;0.152;6300;0;7;2025-09-27T19:43:05.966Z
quicksort;700;9828723232005063390;0.115;7871;3866;4;2025-09-27T19:43:05.967Z
select;700;9828723232005063390;0.112;5200;1398;9;2025-09-27T19:43:05.968Z
closest;700;9828723232005063390;0.555;5274;0;6;2025-09-27T19:43:05.969Z
mergesort;700;1210930972413924640;0.105;6309;0;7;2025-09-27T19:43:05.970Z
quicksort;700;1210930972413924640;0.120;7582;4163;4;2025-09-27T19:43:05.971Z
select;700;1210930972413924640;0.059;5189;1395;9;2025-09-27T19:43:05.971Z
closest;700;1210930972413924640;0.594;5330;0;6;2025-09-27T19:43:05.972Z
mergesort;800;10497243970035481550;0.199;7593;0;7;2025-09-27T19:43:05.973Z
quicksort;800;10497243970035481550;0.191;8429;4608;4;2025-09-27T19:43:05.975Z
select;800;10497243970035481550;0.115;6118;1627;9;2025-09-27T19:43:05.975Z
closest;800;10497243970035481550;0.675;6864;0;6;2025-09-27T19:43:05.977Z
mergesort;800;8189692571158390753;0.159;7651;0;7;2025-09-27T19:43:05.978Z
